Year,Month,"Facility Reference 
Number",Licence Holder,Site Common Name,Latitude,Longitude,Finfish Aquaculture Management Unit,Species,Production Information & Report Status,Environmental (%/month),Fresh 'silver' (%/month),Handling / Transport (%/month),Mature (%/month),Old / Decomposed (%/month),Poor Performer / Cull (%/month),Predator Attack (%/month),Total Mortality (%/month)
2013,9,1698,Grieg Seafood BC,Ahlstrom,49.7793,-124.15395,Sunshine Coast,Atlantic Salmon,Smolt Entry,0,4.8,1.4,0,0,0.1,0,6.3
2013,10,1698,Grieg Seafood BC,Ahlstrom,49.7793,-124.15395,Sunshine Coast,Atlantic Salmon,Smolt Entry,0,3.3,0.1,0,0.7,0.1,0,4.3
2013,11,1698,Grieg Seafood BC,Ahlstrom,49.7793,-124.15395,Sunshine Coast,Atlantic Salmon,Smolt Entry,0,0.2,0,0,0.1,0,0,0.3
2013,12,1698,Grieg Seafood BC,Ahlstrom,49.7793,-124.15395,Sunshine Coast,Atlantic Salmon,Grow-out,0,0,0,0,0,0,0.1,0.2
2014,1,1698,Grieg Seafood BC,Ahlstrom,49.7793,-124.15395,Sunshine Coast,Atlantic Salmon,Grow-out,0,0,0,0,0,0,0.2,0.3
2014,2,1698,Grieg Seafood BC,Ahlstrom,49.7793,-124.15395,Sunshine Coast,Atlantic Salmon,Grow-out,0,0.1,0,0,0,0,0.3,0.4
2014,3,1698,Grieg Seafood BC,Ahlstrom,49.7793,-124.15395,Sunshine Coast,Atlantic Salmon,Grow-out,0,0,0.7,0,0,0,0.1,0.9
2014,4,1698,Grieg Seafood BC,Ahlstrom,49.7793,-124.15395,Sunshine Coast,Atlantic Salmon,Grow-out,0,0,0.4,0,0,0,0,0.4
2014,5,1698,Grieg Seafood BC,Ahlstrom,49.7793,-124.15395,Sunshine Coast,Atlantic Salmon,Grow-out,0,0.1,0,0,0.1,0,0,0.2
2014,6,1698,Grieg Seafood BC,Ahlstrom,49.7793,-124.15395,Sunshine Coast,Atlantic Salmon,Grow-out,0,0.2,0,0,0.2,0.2,0,0.7
2014,7,1698,Grieg Seafood BC,Ahlstrom,49.7793,-124.15395,Sunshine Coast,Atlantic Salmon,Grow-out,0,0,0,0,0.1,0,0,0.1
2015,1,1698,Grieg Seafood BC,Ahlstrom,49.7793,-124.15395,Sunshine Coast,Atlantic Salmon,Smolt Entry,0,0,0.1,0,0,0.1,0,0.2
2015,2,1698,Grieg Seafood BC,Ahlstrom,49.7793,-124.15395,Sunshine Coast,Atlantic Salmon,Smolt Entry,0,0,0.6,0,0.1,0,0,0.7
2015,3,1698,Grieg Seafood BC,Ahlstrom,49.7793,-124.15395,Sunshine Coast,Atlantic Salmon,Smolt Entry,0,0,0,0,0.1,0,0.1,0.3
2015,4,1698,Grieg Seafood BC,Ahlstrom,49.7793,-124.15395,Sunshine Coast,Atlantic Salmon,Smolt Entry,0,0.1,0,0,0.1,0,0.3,0.6
2015,5,1698,Grieg Seafood BC,Ahlstrom,49.7793,-124.15395,Sunshine Coast,Atlantic Salmon,Grow-out,0.1,0.1,0,0,0.2,0.1,0.2,0.7
2015,6,1698,Grieg Seafood BC,Ahlstrom,49.7793,-124.15395,Sunshine Coast,Atlantic Salmon,Grow-out,0,0,0,0,0.1,0,0.2,0.4
2015,7,1698,Grieg Seafood BC,Ahlstrom,49.7793,-124.15395,Sunshine Coast,Atlantic Salmon,Grow-out,0,0,0,0,0.1,0,0,0.1
2015,8,1698,Grieg Seafood BC,Ahlstrom,49.7793,-124.15395,Sunshine Coast,Atlantic Salmon,Grow-out,0,0,0,0,0.1,0.1,0,0.2
2015,9,1698,Grieg Seafood BC,Ahlstrom,49.7793,-124.15395,Sunshine Coast,Atlantic Salmon,Grow-out,0,0,0,0,0.1,0.1,0,0.2
2015,10,1698,Grieg Seafood BC,Ahlstrom,49.7793,-124.15395,Sunshine Coast,Atlantic Salmon,Grow-out,0,0,0,0,0.1,0,0,0.1
2015,11,1698,Grieg Seafood BC,Ahlstrom,49.7793,-124.15395,Sunshine Coast,Atlantic Salmon,Grow-out,0,0,0.1,0,0.1,0,0,0.4
2015,12,1698,Grieg Seafood BC,Ahlstrom,49.7793,-124.15395,Sunshine Coast,Atlantic Salmon,Grow-out,0,0.1,0,0.1,0,0,0,0.2
2016,1,1698,Grieg Seafood BC,Ahlstrom,49.7793,-124.15395,Sunshine Coast,Atlantic Salmon,Grow-out,0,0,0,0,0,0,0,0.1
2016,2,1698,Grieg Seafood BC,Ahlstrom,49.7793,-124.15395,Sunshine Coast,Atlantic Salmon,Grow-out,0,0,0,0,0,0,0,0.1
2016,3,1698,Grieg Seafood BC,Ahlstrom,49.7793,-124.15395,Sunshine Coast,Atlantic Salmon,Grow-out,0,0.1,0,0,0.1,0,0,0.2
